index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
68,"total_rev_hi_lim:35,097-54,241",-0.0997043019340649,total_rev_hi_lim,-3.9144698542283,-4.0,-0.08553014577169993,-4.0
69,"total_rev_hi_lim:54,241-79,780",-0.0362837324338585,total_rev_hi_lim,-1.4245280700641292,-1.0,0.4245280700641292,-1.0
70,earliest_cr_line:missing,0.0034597005537047227,earliest_cr_line,0.13583058363008343,0.0,-0.13583058363008343,0.0
71,earliest_cr_line:<125,0.0,earliest_cr_line,0.0,0.0,0.0,0.0
72,earliest_cr_line:125-167,0.7490877693136443,earliest_cr_line,29.409779059368173,29.0,-0.40977905936817294,29.0
73,earliest_cr_line:167-249,0.005167185211667386,earliest_cr_line,0.20286778353518153,0.0,-0.20286778353518153,0.0
74,earliest_cr_line:249-331,-0.04728495738228719,earliest_cr_line,-1.8564448739016095,-2.0,-0.1435551260983905,-2.0
75,earliest_cr_line:331-434,0.006576658595603459,earliest_cr_line,0.2582048248135364,0.0,-0.2582048248135364,0.0
76,issue_d:<79,0.0,issue_d,0.0,0.0,0.0,0.0
77,issue_d:79-89,0.0,issue_d,0.0,0.0,0.0,0.0
78,issue_d:89-100,0.0,issue_d,0.0,0.0,0.0,0.0
79,issue_d:100-122,0.0,issue_d,0.0,0.0,0.0,0.0
80,last_credit_pull_d:missing,-0.7447566913224989,last_credit_pull_d,-29.239737507461395,-29.0,0.23973750746139544,-29.0
81,last_credit_pull_d:<56,0.0,last_credit_pull_d,0.0,0.0,0.0,0.0
82,last_credit_pull_d:56-61,0.0,last_credit_pull_d,0.0,0.0,0.0,0.0
0,last_credit_pull_d:>75,0.0,last_credit_pull_d,0.0,0.0,0.0,0.0
1,issue_d:>122,0.0,issue_d,0.0,0.0,0.0,0.0
2,earliest_cr_line:>434,0.0,earliest_cr_line,0.0,0.0,0.0,0.0
3,"total_rev_hi_lim:>79,780",0.0,total_rev_hi_lim,0.0,0.0,0.0,0.0
4,"total_rec_int:>7,260",0.0,total_rec_int,0.0,0.0,0.0,0.0
5,"total_pymnt:>25,000",0.0,total_pymnt,0.0,0.0,0.0,0.0
6,"out_prncp:>15,437",0.0,out_prncp,0.0,0.0,0.0,0.0
7,revol_util:>1.0,0.0,revol_util,0.0,0.0,0.0,0.0
8,inq_last_6mths:>4,0.0,inq_last_6mths,0.0,0.0,0.0,0.0
9,dti:>35.191,0.0,dti,0.0,0.0,0.0,0.0
10,annual_inc:>150K,0.0,annual_inc,0.0,0.0,0.0,0.0
11,int_rate:>20.281,0.0,int_rate,0.0,0.0,0.0,0.0
12,term:60,0.0,term,0.0,0.0,0.0,0.0
13,purpose:major_purch__car__home_impr,0.0,purpose,0.0,0.0,0.0,0.0
14,verification_status:Not Verified,0.0,verification_status,0.0,0.0,0.0,0.0
15,home_ownership:MORTGAGE,0.0,home_ownership,0.0,0.0,0.0,0.0
16,grade:G,0.0,grade,0.0,0.0,0.0,0.0
